url,revision_feed
http://datosabiertos.ec/api,
http://data.lexingtonky.gov/api,http://data.lexingtonky.gov/revision/list?format=atom
http://data.gov.sk/api,http://data.gov.sk/revision/list?format=atom
http://open.canada.ca/data/en/api,http://open.canada.ca/data/en/revision/list?format=atom
http://ckan.gsi.go.jp/api,http://ckan.gsi.go.jp/revision/list?format=atom
http://data.openva.com/api,http://data.openva.com/revision/list?format=atom
http://dados.rs.gov.br/api,http://dados.rs.gov.br/revision/list?format=atom
http://dados.recife.pe.gov.br/api,http://dados.recife.pe.gov.br/revision/list?format=atom
https://dados.novohamburgo.rs.gov.br/api,
http://data.openpolice.ru/api,http://data.openpolice.ru/revision/list?format=atom
http://rs.ckan.net/api,http://rs.ckan.net/revision/list?format=atom
https://opendata.bayern.de/api,
http://africaopendata.org/api,http://africaopendata.org/revision/list?format=atom
http://data.london.gov.uk/api,
http://linkeddatacatalog.dws.informatik.uni-mannheim.de/api,http://linkeddatacatalog.dws.informatik.uni-mannheim.de/revision/list?format=atom
http://data.ottawa.ca/api,http://data.ottawa.ca/revision/list?format=atom
http://data.hdx.rwlabs.org/api,http://data.hdx.rwlabs.org/revision/list?format=atom
http://www.daten.rlp.de/api,http://www.daten.rlp.de/revision/list?format=atom
http://www.datos.misiones.gov.ar/api,http://www.datos.misiones.gov.ar/revision/list?format=atom
https://www.data.vic.gov.au/api,https://www.data.vic.gov.au/revision/list?format=atom
http://data.gov.ro/api,http://data.gov.ro/revision/list?format=atom
http://opendata.aragon.es/catalogo/api,http://opendata.aragon.es/catalogo/revision/list?format=atom
http://catalogo.datos.gob.mx/api,http://catalogo.datos.gob.mx/revision/list?format=atom
http://data.ohouston.org/api,http://data.ohouston.org/revision/list?format=atom
https://data.sa.gov.au/api,https://data.sa.gov.au/revision/list?format=atom
http://ckan.data.ktn.gv.at/api,http://ckan.data.ktn.gv.at/revision/list?format=atom
http://dadosabertos.senado.gov.br/api,http://dadosabertos.senado.gov.br/revision/list?format=atom
http://catalogue.datalocale.fr/api,http://catalogue.datalocale.fr/revision/list?format=atom
http://ckan.data.graz.gv.at/api,http://ckan.data.graz.gv.at/revision/list?format=atom
http://datos.codeandomexico.org/api,http://datos.codeandomexico.org/revision/list?format=atom
http://www.civicdata.io/api,http://www.civicdata.io/revision/list?format=atom
http://data.wu.ac.at/api,http://data.wu.ac.at/revision/list?format=atom
http://ckan.data.linz.gv.at/api,
http://opengov.es/api,http://opengov.es/revision/list?format=atom
http://data.bris.ac.uk/data/api,http://data.bris.ac.uk/data/revision/list?format=atom
http://data.opendataportal.at/api,http://data.opendataportal.at/revision/list?format=atom
http://datosabiertos.malaga.eu/api,http://datosabiertos.malaga.eu/revision/list?format=atom
http://data.amsterdamopendata.nl/api,http://data.amsterdamopendata.nl/revision/list?format=atom
http://opendatadc.org/api,http://opendatadc.org/revision/list?format=atom
http://datamx.io/api,http://datamx.io/revision/list?format=atom
https://www.govdata.de/ckan/api/,https://www.govdata.de/ckan/revision/list?format=atom
http://data.gov.uk/api,
http://opendata.caceres.es/api,http://opendata.caceres.es/revision/list?format=atom
http://www.daten.rlp.de/api,http://www.daten.rlp.de/revision/list?format=atom
http://bermuda.io/api,http://bermuda.io/revision/list?format=atom
http://open.canada.ca/data/api/,http://open.canada.ca/data/revision/list?format=atom
http://data.opencolorado.org/api,http://data.opencolorado.org/revision/list?format=atom
https://data.qld.gov.au/api,https://data.qld.gov.au/revision/list?format=atom
http://opendatagortynia.gr/api,http://opendatagortynia.gr/revision/list?format=atom
http://dati.lazio.it/catalog/it/api,http://dati.lazio.it/catalog/it/revision/list?format=atom
https://data.overheid.nl/data/api,https://data.overheid.nl/data/revision/list?format=atom
http://ie.ckan.net/api,
http://www.nosdonnees.fr/api,http://www.nosdonnees.fr/revision/list?format=atom
https://edx.netl.doe.gov/api,https://edx.netl.doe.gov/revision/list?format=atom
http://no.ckan.net/api/,
http://gisdata.mn.gov/api,http://gisdata.mn.gov/revision/list?format=atom
http://opendatareno.org/api,http://opendatareno.org/revision/list?format=atom
http://dati.trentino.it/api,http://dati.trentino.it/revision/list?format=atom
http://cities.opendatahub.gr/api,
http://geothermaldata.org/api,
http://drdsi.jrc.ec.europa.eu/api,http://drdsi.jrc.ec.europa.eu/revision/list?format=atom
http://data.edostate.gov.ng/api,http://data.edostate.gov.ng/revision/list?format=atom
http://data.tainan.gov.tw/api,http://data.tainan.gov.tw/revision/list?format=atom
https://data.gov.hk/en-data/api,https://data.gov.hk/en-data/revision/list?format=atom
http://data.nsw.gov.au/data/api,http://data.nsw.gov.au/data/revision/list?format=atom
http://open-data.europa.eu/en/data/api,
http://data.buenosaires.gob.ar/api,
http://opendatahub.gr/api,http://opendatahub.gr/revision/list?format=atom
http://www.opendata-hro.de/api,http://www.opendata-hro.de/revision/list?format=atom
http://udct-data.aigid.jp/api,http://udct-data.aigid.jp/revision/list?format=atom
http://www.offene-daten.me/api,http://www.offene-daten.me/revision/list?format=atom
http://data.kk.dk/api,http://data.kk.dk/revision/list?format=atom
http://cz.ckan.net/api,
http://portal.openbelgium.be/api,http://portal.openbelgium.be/revision/list?format=atom
http://opendata.opennorth.se/api,http://opendata.opennorth.se/revision/list?format=atom
http://www.hri.fi/api,http://www.hri.fi/revision/list?format=atom
http://publicdata.eu/api,http://publicdata.eu/revision/list?format=atom
http://opingogn.is/api,http://opingogn.is/revision/list?format=atom
http://opendata.hu/api,http://opendata.hu/revision/list?format=atom
http://data.surrey.ca/api,http://data.surrey.ca/revision/list?format=atom
http://donnees.ville.sherbrooke.qc.ca/api,http://donnees.ville.sherbrooke.qc.ca/revision/list?format=atom
http://dati.toscana.it/api,http://dati.toscana.it/revision/list?format=atom
http://it.ckan.net/api,
http://opendata.comune.bari.it/api,http://opendata.comune.bari.it/revision/list?format=atom
https://offenedaten.de/api,https://offenedaten.de/revision/list?format=atom
http://hubofdata.ru/api,http://hubofdata.ru/revision/list?format=atom
http://datospublicos.gob.ar/data/api,http://datospublicos.gob.ar/data/revision/list?format=atom
http://dataforjapan.org/api,http://dataforjapan.org/revision/list?format=atom
http://data.cityofsantacruz.com/api,http://data.cityofsantacruz.com/revision/list?format=atom
http://datagm.org.uk/api,http://datagm.org.uk/revision/list?format=atom
http://dartportal.leeds.ac.uk/api,http://dartportal.leeds.ac.uk/revision/list?format=atom
http://data.rio.rj.gov.br/api,http://data.rio.rj.gov.br/revision/list?format=atom
http://datahub.io/api,http://datahub.io/revision/list?format=atom
http://datameti.go.jp/data/api,http://datameti.go.jp/data/revision/list?format=atom
http://data.opencolorado.org/api,http://data.opencolorado.org/revision/list?format=atom
http://opendata.aragon.es/catalogo/api/,http://opendata.aragon.es/catalogo/revision/list?format=atom
http://annuario.comune.fi.it/api,http://annuario.comune.fi.it/revision/list?format=atom
http://opendata.admin.ch/api,http://opendata.admin.ch/revision/list?format=atom
https://data.noaa.gov/api,
http://oppnadata.se/api,http://oppnadata.se/revision/list?format=atom
http://data.grcity.us/api,http://data.grcity.us/revision/list?format=atom
http://dados.gov.br/api,http://dados.gov.br/revision/list?format=atom
http://catalog.data.ug/api,http://catalog.data.ug/revision/list?format=atom
http://data.glasgow.gov.uk/api,http://data.glasgow.gov.uk/revision/list?format=atom
http://iatiregistry.org/api,http://iatiregistry.org/revision/list?format=atom
http://opendata.awt.be/api,http://opendata.awt.be/revision/list?format=atom
http://www.odaa.dk/api,
http://rotterdamopendata.nl/api,http://rotterdamopendata.nl/revision/list?format=atom
http://br.ckan.net/api,
http://www.data.gv.at/katalog/api,http://www.data.gv.at/katalog/revision/list?format=atom
http://data.salzburgerland.com/api,http://data.salzburgerland.com/revision/list?format=atom
http://data.gov.au/api,http://data.gov.au/revision/list?format=atom
http://data.gov.ie/api,http://data.gov.ie/revision/list?format=atom
http://opendata.lisra.jp/api,http://opendata.lisra.jp/revision/list?format=atom
http://opendata.cmt.es/api,http://opendata.cmt.es/revision/list?format=atom
https://beta.avoindata.fi/data/fi/api,https://beta.avoindata.fi/data/fi/revision/list?format=atom
http://hub.healthdata.gov/api,
http://datospublicos.org/api/,http://datospublicos.org/revision/list?format=atom
https://catalogodatos.gub.uy/api,https://catalogodatos.gub.uy/revision/list?format=atom
http://opendatacanarias.es/datos/api,http://opendatacanarias.es/datos/revision/list?format=atom
http://www.opendata.provincia.roma.it/api,http://www.opendata.provincia.roma.it/revision/list?format=atom
http://donnees.ville.montreal.qc.ca/api,
http://www.opendatahub.it/api,http://www.opendatahub.it/revision/list?format=atom
